Product,Historical_Demand,Current_Stock,Forecast_Demand,Lead_Time,Safety_Stock,Reorder_Point,Action,Stock_Status,Avg_Daily_Demand,Forecast_30_Days
MEDIUM CERAMIC TOP STORAGE JAR,74215,202,81636,7,100,1982.264492753623,Reorder,Critical,268.8949275362319,8066
WORLD WAR 2 GLIDERS ASSTD DESIGNS,12340,535,13574,7,100,412.9710144927536,Sufficient,Low,44.710144927536234,1341
WHITE HANGING HEART T-LIGHT HOLDER,11221,960,12343,7,100,384.59057971014494,Sufficient,Healthy,40.655797101449274,1219
PACK OF 72 RETROSPOT CAKE CASES,9418,370,10359,7,100,338.86231884057975,Sufficient,Low,34.1231884057971,1023
JUMBO BAG RED RETROSPOT,8629,206,9491,7,100,318.8514492753623,Reorder,Critical,31.264492753623188,937
GROW A FLYTRAP OR SUNFLOWER IN TIN,6915,171,7606,7,100,275.3804347826087,Reorder,Critical,25.054347826086957,751
SMALL POPCORN HOLDER,6700,800,7370,7,100,269.92753623188406,Sufficient,Healthy,24.27536231884058,728
MINI PAINT SET VINTAGE ,6445,120,7089,7,100,263.46014492753625,Reorder,Critical,23.35144927536232,700
ASSORTED COLOUR BIRD ORNAMENT,5946,714,6540,7,100,250.80434782608697,Sufficient,Healthy,21.543478260869566,646
PACK OF 12 LONDON TISSUES ,5868,221,6454,7,100,248.82608695652175,Reorder,Critical,21.26086956521739,637
HEART OF WICKER SMALL,5781,566,6359,7,100,246.6195652173913,Sufficient,Healthy,20.945652173913043,628
BROCADE RING PURSE ,4834,314,5317,7,100,222.6014492753623,Sufficient,Low,17.514492753623188,525
JAM MAKING SET PRINTED,4314,430,4745,7,100,209.41304347826087,Sufficient,Healthy,15.630434782608695,468
RED  HARMONICA IN BOX ,4296,558,4725,7,100,208.95652173913044,Sufficient,Healthy,15.565217391304348,466
EMPIRE DESIGN ROSETTE,4104,187,4514,7,100,204.08695652173913,Reorder,Critical,14.869565217391305,446
VICTORIAN GLASS HANGING T-LIGHT,4026,472,4428,7,100,202.10869565217394,Sufficient,Healthy,14.58695652173913,437
PACK OF 60 PINK PAISLEY CAKE CASES,4010,199,4411,7,100,201.70289855072463,Reorder,Critical,14.528985507246377,435
HAND WARMER BABUSHKA DESIGN,3975,971,4372,7,100,200.81521739130434,Sufficient,Healthy,14.402173913043478,432
SPACEBOY LUNCH BOX ,3837,763,4220,7,100,197.31521739130434,Sufficient,Healthy,13.902173913043478,417
72 SWEETHEART FAIRY CAKE CASES,3795,230,4174,7,100,196.25,Sufficient,Low,13.75,412
